x,y,z,c,label
-0.633700554,-0.303243053,-0.404596161,c,Pakistan
-0.625201864,-0.366481168,-0.39675188,c,Pakistan
-0.636869077,-0.279325303,-0.4076928,c,Pakistan
-0.638911344,-0.263948451,-0.409668904,c,Pakistan
2.91245163,0.069101514,-0.46004958,r,United States of America
2.989622147,0.110703141,-0.195686857,r,United States of America
2.905361888,0.046862964,-0.590923111,r,United States of America
3.313753039,0.147080482,-0.220253407,r,United States of America
3.395217144,0.092273105,-0.732628287,r,United States of America
2.869251066,0.23470834,0.953308164,r,United States of America
2.234058248,0.378755927,2.807625941,r,United States of America
2.46908987,0.211562552,1.209958155,r,United States of America
2.670615449,0.257142805,1.381608464,r,United States of America
2.792630626,0.262317519,1.229681253,r,United States of America
2.643985834,0.248615326,1.242923091,r,United States of America
2.18924864,0.144735197,0.913878213,r,United States of America
2.517430674,0.117218073,0.382191487,r,United States of America
2.795311507,0.085966147,-0.1532482,r,United States of America
2.282938754,0.115676325,0.669263781,r,United States of America
2.717986357,0.116968734,0.239504188,r,United States of America
3.008714221,0.106548523,-0.149365117,r,United States of America
2.849705563,0.303165076,1.559024976,r,United States of America
2.48393674,0.499298983,3.565641226,r,United States of America
3.500367788,0.340655523,1.175282868,r,United States of America
3.363124327,0.350143589,1.420171236,r,United States of America
3.400105427,0.198415579,0.097721151,r,United States of America
2.725127486,0.221449765,0.989986896,r,United States of America
1.945322001,0.223956388,1.831111211,r,United States of America
2.275444476,0.154846733,0.963427421,r,United States of America
2.281444114,0.153920491,0.924690706,r,United States of America
2.519105104,0.170753643,0.833357124,r,United States of America
3.075847256,0.189038478,0.422198537,r,United States of America
3.858908476,0.196771742,-0.364863422,r,United States of America
4.039043837,0.311682293,0.322769282,r,United States of America
4.000225156,0.472042548,1.62821499,r,United States of America
4.754753475,0.369368146,-0.010832599,r,United States of America
6.023834752,0.443607556,-0.847235837,r,United States of America
5.937747304,0.365072058,-1.408050329,r,United States of America
5.875762902,0.394177334,-1.131136173,r,United States of America
3.694300486,0.343710658,0.827076304,r,United States of America
4.268733034,0.268444063,-0.344959672,r,United States of America
3.456902895,0.309440815,0.885910151,r,United States of America
2.936024469,0.271394799,1.186173457,r,United States of America
-0.287095926,-0.399758845,-0.735291531,b,Uruguay
-0.19961824,-0.405251607,-0.869679285,b,Uruguay
-0.243423731,-0.3938337,-0.739626054,b,Uruguay
-0.23171443,-0.398015521,-0.782651326,b,Uruguay
-0.177907822,-0.405445829,-0.896163305,b,Uruguay
-0.189006722,-0.394572639,-0.799624257,b,Uruguay
-0.130182206,-0.397939783,-0.886733044,b,Uruguay
-0.300670868,-0.357140059,-0.752928537,b,Uruguay
-0.192202146,-0.398683473,-0.831221572,b,Uruguay
-0.229305013,-0.396211862,-0.774565369,b,Uruguay
-0.229397823,-0.373890222,-0.783126754,b,Uruguay
-0.172537294,-0.392696172,-0.803577008,b,Uruguay
-0.169647593,-0.393578793,-0.813433774,b,Uruguay
-0.173363259,-0.387973628,-0.883760417,b,Uruguay
-0.16410543,-0.393277037,-0.817172307,b,Uruguay
-0.242003712,-0.385261718,-0.796988282,b,Uruguay
-0.164035806,-0.394952359,-0.829927953,b,Uruguay
-0.163360466,-0.398995134,-0.862567055,b,Uruguay
